0	285	259
1	352	209
2	404	389
3	119	200
4	301	315
5	234	264
6	223	384
7	471	151
8	122	525
9	240	485
10	95	369
11	112	112
12	403	129
13	491	90
14	482	65
15	470	182
16	204	389
17	186	230
18	284	282
19	537	106
20	160	273
21	75	308
22	392	270
23	66	505
24	190	525
25	432	209
26	368	317
27	210	375
28	290	289
29	457	297
30	430	218
31	408	511
32	253	172
33	499	236
34	371	51
35	423	548
36	53	520
37	467	445
38	60	96
39	83	508
40	456	393
41	289	141
42	518	428
43	162	195
44	410	121
45	488	226
46	324	358
47	265	439
48	181	168
49	348	541
50	549	241
51	151	419
52	178	291
53	533	166
54	211	404
55	455	438
56	244	204
57	238	493
58	432	233
59	493	61
60	304	481
61	532	499
62	492	64
63	504	298
64	488	72
65	507	239
66	177	342
67	180	194
68	421	546
69	218	301
70	246	510
71	233	446
72	93	366
73	140	475
74	255	545
75	365	279
76	182	523
77	382	281
78	327	111
79	262	262
80	403	287
81	97	484
82	501	418
83	518	153
84	159	412
85	194	111
86	302	174
87	315	324
88	459	329
89	187	245
90	175	411
91	543	399
92	119	225
93	387	227
94	440	384
95	434	202
96	496	199
97	213	89
98	225	271
99	299	533
